split,window_plan,experiment,model,best_epoch,val_loss,n_test_windows,n_test_files,window_accuracy,window_macro_f1,window_mae_mil,window_rmse_mil,file_accuracy,file_macro_f1,file_mae_mil,file_rmse_mil,mil28_accuracy,mil28_mae_mil
C,no_overlap,109DEFE,Cnn1d,46,0.19928935614828877,2011,17,0.9343610144206862,0.9461864218188332,3.0563764572143555,4.1477274894714355,0.9411764705882353,0.9494949494949495,2.677539825439453,3.8283162117004395,1.0,1.8535680770874023
C,no_overlap,109DEFE,CnnGru,11,0.1290680610302013,2011,17,0.95574341123819,0.96308896722001,2.010035991668701,3.192840814590454,1.0,1.0,1.9409534931182861,2.7994272708892822,1.0,0.7693049907684326
C,no_overlap,109DEFE,CnnLstm,19,0.19473412889513725,2011,17,0.9741422178020885,0.9779328527525292,1.89469575881958,3.500494956970215,1.0,1.0,1.51279878616333,3.0337166786193848,1.0,0.6933785676956177
C,no_overlap,101DEFE,Cnn1d,46,0.1730859480403489,1776,15,0.9138513513513513,0.9306092333953331,3.0957367420196533,4.227031230926514,0.9333333333333333,0.9415584415584416,2.7227816581726074,3.9167606830596924,,
C,no_overlap,101DEFE,CnnGru,26,0.09201997938389547,1776,15,0.9521396396396397,0.958361493040431,1.3559476137161255,2.723796844482422,0.9333333333333333,0.9415584415584416,1.2318836450576782,2.098787784576416,,
C,no_overlap,101DEFE,CnnLstm,6,0.41721162616908847,1776,15,0.9161036036036037,0.9298889212242242,2.596877098083496,4.0702362060546875,0.9333333333333333,0.9415584415584416,2.276413679122925,3.6122164726257324,,
C,no_overlap,109DE,Cnn1d,34,0.19802701924129137,2011,17,0.9085032322227747,0.9225927511197395,2.829798698425293,3.537432909011841,0.9411764705882353,0.9494949494949495,2.453876256942749,3.138179063796997,1.0,3.4892213344573975
C,no_overlap,109DE,CnnGru,27,0.04132152837289478,2011,17,0.9174540029835903,0.9293681346968478,1.232017993927002,2.2759368419647217,0.9411764705882353,0.9494949494949495,1.0600244998931885,2.0650482177734375,1.0,0.614435076713562
C,no_overlap,109DE,CnnLstm,24,0.08144698159917843,2011,17,0.9094977623073098,0.9244482813351189,1.4733513593673706,2.368699312210083,0.9411764705882353,0.9494949494949495,1.3075977563858032,1.9643596410751343,1.0,0.40467679500579834
C,no_overlap,101DE,Cnn1d,46,0.1203694756837965,1776,15,0.911036036036036,0.9238853347083306,2.426299571990967,2.9786946773529053,0.9333333333333333,0.9415584415584416,2.184908151626587,2.6254515647888184,,
C,no_overlap,101DE,CnnGru,16,0.0961672658285451,1776,15,0.9042792792792793,0.9144657578283211,1.4526199102401733,2.570063352584839,0.9333333333333333,0.9415584415584416,1.1221697330474854,2.1797585487365723,,
C,no_overlap,101DE,CnnLstm,42,0.07287557615859838,1776,15,0.9076576576576577,0.9212047862040003,0.9282037019729614,2.3549411296844482,0.9333333333333333,0.9415584415584416,0.7851815819740295,2.032066583633423,,
C,overlap50,dual101,Cnn1d,30,0.0681958910487936,3540,15,0.9245762711864407,0.9343540374226129,2.115509510040283,3.042032480239868,0.9333333333333333,0.9415584415584416,1.7538905143737793,2.639746904373169,,
C,overlap50,dual101,CnnGru,13,0.01979765590600928,3540,15,0.9720338983050848,0.969098886303544,1.594091773033142,2.964897871017456,1.0,1.0,1.4599390029907227,2.6131653785705566,,
C,overlap50,dual101,CnnLstm,33,0.01591005539811762,3540,15,0.9652542372881356,0.9670783166366244,0.955033540725708,1.7636706829071045,1.0,1.0,0.7989957928657532,1.4371029138565063,,
C,overlap50,109DEFE,Cnn1d,35,0.13232477155309777,4010,17,0.9403990024937656,0.9509661941856362,3.115978240966797,4.239714622497559,0.9411764705882353,0.9494949494949495,2.840005397796631,3.9886276721954346,0.9957446808510638,1.5713704824447632
C,overlap50,109DEFE,CnnGru,7,0.10536505635312257,4010,17,0.9653366583541148,0.9703817736957099,1.398818016052246,2.3386974334716797,1.0,1.0,1.2128791809082031,1.8232585191726685,1.0,0.7076157331466675
C,overlap50,109DEFE,CnnLstm,9,0.2032084659005932,4010,17,0.9688279301745636,0.9734097141164516,1.6069035530090332,3.0508065223693848,1.0,1.0,1.2795557975769043,2.5732033252716064,1.0,0.4194805920124054
C,overlap50,101DEFE,Cnn1d,24,0.1656266867839329,3540,15,0.9305084745762712,0.9419591266790961,2.864370346069336,4.014855861663818,0.9333333333333333,0.9415584415584416,2.4918675422668457,3.7051899433135986,,
C,overlap50,101DEFE,CnnGru,21,0.17323688440746446,3540,15,0.9553672316384181,0.9595557657971777,1.627665400505066,3.2937045097351074,0.9333333333333333,0.9415584415584416,1.2095212936401367,2.0901153087615967,,
C,overlap50,101DEFE,CnnLstm,40,0.1032538149818161,3540,15,0.9488700564971752,0.9537732227073794,1.707381010055542,3.640986919403076,0.9333333333333333,0.9415584415584416,1.5477240085601807,3.152437686920166,,
C,overlap50,109DE,Cnn1d,53,0.128317408812052,4010,17,0.8957605985037407,0.9142300842325782,2.246633529663086,2.8717236518859863,0.9411764705882353,0.9494949494949495,1.8051725625991821,2.461076259613037,0.7936170212765957,1.0325111150741577
C,overlap50,109DE,CnnGru,11,0.03752169369319241,4010,17,0.9134663341645886,0.926332301874423,1.386683464050293,2.937370538711548,0.9411764705882353,0.9494949494949495,1.145694375038147,2.6838808059692383,1.0,0.6940348148345947
C,overlap50,109DE,CnnLstm,17,0.10316546593889656,4010,17,0.9092269326683292,0.922444596042375,1.1003620624542236,2.1484713554382324,0.9411764705882353,0.9494949494949495,0.8431809544563293,1.7093271017074585,1.0,0.32046669721603394
C,overlap50,101DE,Cnn1d,23,0.15976015383104653,3540,15,0.918361581920904,0.9275762507129364,2.323143482208252,2.821521520614624,0.9333333333333333,0.9415584415584416,1.972287654876709,2.4100706577301025,,
C,overlap50,101DE,CnnGru,20,0.04890353288053238,3540,15,0.884180790960452,0.9000643290498884,1.5001883506774902,2.628235340118408,0.9333333333333333,0.9415584415584416,1.2454488277435303,2.266925811767578,,
C,overlap50,101DE,CnnLstm,14,0.11056273115757181,3540,15,0.9511299435028249,0.9581766812849515,1.3237247467041016,2.379150390625,1.0,1.0,0.926699161529541,1.7628374099731445,,
